Training School,District,Ownership,Address,Course Code,Course Name,Start date,EndDate
ALICE ANUME SCHOOL OF NURSING,PALLISA,PFP,,CN,Certificate in Midwifery,01/11/2011,01/05/2014
ALICE ANUME SCHOOL OF NURSING,PALLISA,PFP,,CN,Certificate in Nursing,01/11/2011,01/05/2014
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CCN,Certificate In Comprehensive Nursing,01/11/2003,01/05/2006
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CCN,Certificate In Comprehensive Nursing,01/11/2004,01/05/2007
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CCN,Certificate In Comprehensive Nursing,01/11/2005,01/05/2008
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CCN,Certificate In Comprehensive Nursing,01/11/2006,01/05/2009
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CCN,Certificate In Comprehensive Nursing,01/11/2007,01/05/2010
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CCN,Certificate In Comprehensive Nursing,01/11/2009,01/05/2012
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CCN,Certificate In Comprehensive Nursing,01/11/2008,01/05/2011
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CCN,Certificate In Comprehensive Nursing,01/11/2010,01/05/2013
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CCN,Certificate In Comprehensive Nursing,01/11/2011,01/05/2014
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CN,Certificate in Midwifery,01/05/2001,01/11/2003
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CN,Certificate in Midwifery,01/11/2003,01/05/2006
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CN,Certificate in Midwifery,01/11/2011,01/05/2014
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CN,Certificate in Midwifery,01/11/2012,01/05/2015
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,CN,Certificate in Nursing,01/11/2003,01/05/2006
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,DCN,Diploma in Comprehensive Nursing,01/05/2007,01/05/2010
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,DCN,Diploma in Comprehensive Nursing,01/05/2008,01/05/2011
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,DCNE,Diploma in Comprehensive Nursing (Extension),01/05/2010,01/11/2011
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,DNE,Diploma in Nursing (Extension),01/05/2011,01/11/2012
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,DNE,Diploma in Nursing (Extension),01/05/2012,01/11/2013
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,DME,Diploma in Midwifery (Extension),01/05/2010,01/11/2011
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,DME,Diploma in Midwifery (Extension),01/05/2011,01/11/2012
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,DME,Diploma in Midwifery (Extension),01/05/2012,01/11/2013
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,DNE,Diploma in Nursing (Extension),01/05/2010,01/11/2011
