ALICE ANUME SCHOOL OF NURSING,PALLISA,PFP,Nursing and Midwifery,
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,Nursing and Midwifery,P.O. BOX 78 - ARUA  0772 580 964 
BUSOGA UNIVERSITY SCHOOL OF NURSING,IGANGA,PFP,Nursing and Midwifery,
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,Nursing and Midwifery,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 
FLORENCE NIGHTINGALE NURSING SCHOOL,APAC,PFP,Nursing and Midwifery,
FORT PORTAL INTERNATIONAL NURSE TRAINING SCHOOL,KABAROLE,PFP,Nursing and Midwifery,
GOOD SAMARITAN NURSING SCHOOL,LIRA,PFP,Nursing and Midwifery,
GULU NURSING TRAINING SCHOOL,GULU,Government,Nursing and Midwifery,
HOIMA SCHOOL OF NURSING,HOIMA,PFP,Nursing and Midwifery,
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,Nursing and Midwifery,P.O. BOX 103 - IBANDA  0772 889 564 
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,Nursing and Midwifery,
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,Nursing and Midwifery,
INTERNATIONAL HOSPITAL SCHOOL OF NURSING,KAMPALA,PFP,Nursing and Midwifery,P.O. BOX - KAMPALA (University Status)  0772 592 492 
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,Nursing and Midwifery,P.O. BOX 111 - BUSHENYI  0772 529 503 
IUIU SCHOOL OF NURSING,MBALE,PFP,Nursing and Midwifery,
JINJA SCHOOL OF NURSING AND MIDWIFERY,JINJA,Government,Nursing and Midwifery,P.O. BOX 43 - JINJA  0712 812 363 
KABALE INSTITUITE OF HEALTH SCIENCES,KABALE,PFP,Nursing and Midwifery,
KABALE SCHOOL OF COMPREHENSIVE NURSING,KABALE,Government,Nursing and Midwifery,P.O. BOX 7 - KABALE  0772 607 168 
KAGANDO SCHOOL OF NURSING AND MIDWIFERY,KASESE,PNFP,Nursing and Midwifery,PRIVATE BAG - KASESE  0782 285 124 
