BUTUURO - SACCO PMC CLINIC,Medical Clinic,"BUSHENYI, Western, Uganda"
NN HEALTH MEDICAL CLINIC,Medical Clinic,"BUSHENYI, Western, Uganda"
BETTER LIVINIG CLINIC,Medical Clinic,"IBANDA, Western, Uganda"
BUSINGYE MEDICAL CLINIC,Medical Clinic,"IBANDA, Western, Uganda"
EBENEZER MEDICAL CENTRE CLINIC,Medical Clinic,"IBANDA, Western, Uganda"
FAMILY HEALTH CARE CLINIC  NR,Medical Clinic,"IBANDA, Western, Uganda"
GOODLIFE MEDICAL CLINIC,Medical Clinic,"IBANDA, Western, Uganda"
IBANDA CLINIC  NR,Medical Clinic,"IBANDA, Western, Uganda"
IBANDA MEDICAL   CLINIC  - NR,Medical Clinic,"IBANDA, Western, Uganda"
IGORORA MEDICAL CLINIC,Medical Clinic,"IBANDA, Western, Uganda"
KIGARAMA MEDICAL CLINIC,Medical Clinic,"IBANDA, Western, Uganda"
MMELK MEDICAL CENTRE CLINIC,Medical Clinic,"IBANDA, Western, Uganda"
MODERN CLINIC NYABUHIKYE CLINIC - NR,Medical Clinic,"IBANDA, Western, Uganda"
NABAASA CLINIC,Medical Clinic,"IBANDA, Western, Uganda"
NINSIIMA MEDICARE CLINIC - NR,Medical Clinic,"IBANDA, Western, Uganda"
RUGAAGA MEDICAL CLINIC,Medical Clinic,"IBANDA, Western, Uganda"
RUKIRI DOMICILIARY CLINIC,Medical Clinic,"IBANDA, Western, Uganda"
ST. JOSEPH’S CLINIC,Medical Clinic,"IBANDA, Western, Uganda"
ST. LUKE MEDICAL AND SURGICAL CENTRE CLINIC,Medical Clinic,"IBANDA, Western, Uganda"
ISINGIRO CLINIC AFRICA MEDICAL CENTRE CLINIC PHP,Medical Clinic,"ISINGIRO, Western, Uganda"
KALENDE CLINIC,Medical Clinic,"KIRUHURA, Western, Uganda"
KANGE MEDICAL CENTRE CLINIC,Medical Clinic,"KIRUHURA, Western, Uganda"
KIRUHURA PRISONS CLINIC,Medical Clinic,"KIRUHURA, Western, Uganda"
ACUMPA MEDICAL CENTER CLINIC,Medical Clinic,"MBARARA, Western, Uganda"
ANGELLA DOMICILIARY,Medical Clinic,"MBARARA, Western, Uganda"
COMMUNITY MEDICAL CENTER CLINIC,Medical Clinic,"MBARARA, Western, Uganda"
DIISI MEDICAL CLINIC,Medical Clinic,"MBARARA, Western, Uganda"
HOMELAND CLINIC,Medical Clinic,"MBARARA, Western, Uganda"
HOMELY MEDICAL CENTER CLINIC,Medical Clinic,"MBARARA, Western, Uganda"
KATHE MEDICAL CENTER CLINIC,Medical Clinic,"MBARARA, Western, Uganda"
MBARARA MARIE STOPES CLINIC PHP,Medical Clinic,"MBARARA, Western, Uganda"
NYAKAYOJO MEDICAL CENTRE,Medical Clinic,"MBARARA, Western, Uganda"
ST. AUGUSTINE MEDICAL CENTER CLINIC,Medical Clinic,"MBARARA, Western, Uganda"
ST. JUDIE MEDICAL CENTER CLINIC,Medical Clinic,"MBARARA, Western, Uganda"
VERIDINA MEDICAL CLINIC,Medical Clinic,"MBARARA, Western, Uganda"
ZAMZAMU CLINIC,Medical Clinic,"MBARARA, Western, Uganda"
ELISHA MEMORIAL CLINIC,Medical Clinic,"MITOOMA, Western, Uganda"
MITOOMA CENTRAL CLINIC AND NURSING HOME,Medical Clinic,"MITOOMA, Western, Uganda"
ALLIED HEALTH MEDICAL CENTRE CLINIC,Medical Clinic,"NTUNGAMO, Western, Uganda"
AMAZING GRACE DOMICILIARY CLINIC,Medical Clinic,"NTUNGAMO, Western, Uganda"
CLASSIC MEDICAL CENTRE,Medical Clinic,"NTUNGAMO, Western, Uganda"
DANIEL. K. MEDICAL CENTRE CLINIC,Medical Clinic,"NTUNGAMO, Western, Uganda"
DEVINE  MERCY MEDICAL CENTRE CLINIC,Medical Clinic,"NTUNGAMO, Western, Uganda"
FAMILY DOCTORS CLINIC,Medical Clinic,"NTUNGAMO, Western, Uganda"
RUBAARE PEOPLE CLINIC,Medical Clinic,"NTUNGAMO, Western, Uganda"
SHEEMA CLINIC NYAMUKANA,Medical Clinic,"NTUNGAMO, Western, Uganda"
ST. PATRICK MEDICAL CLINIC,Medical Clinic,"NTUNGAMO, Western, Uganda"
ST. JOSEPH CLINIC,Medical Clinic,"RUBIRIZI, Western, Uganda"
BUKIRIRO CLINIC,Medical Clinic,"RUKUNGIRI, Western, Uganda"
KADOTH CLINIC,Medical Clinic,"RUKUNGIRI, Western, Uganda"
CENTRAL DIVISION,Division Office,"BUSHENYI, Western, Uganda"
ISHAKA DIVISION OFFICE,Division Office,"BUSHENYI, Western, Uganda"
NYAKABIRIZI DIVISION OFFICE,Division Office,"BUSHENYI, Western, Uganda"
BISHESEHE DIVISION OFFICE,Division Office,"IBANDA, Western, Uganda"
BUFUNDA DIVISION,Division Office,"IBANDA, Western, Uganda"
KAGONGO  DIVISION OFFICE,Division Office,"IBANDA, Western, Uganda"
CENTRAL DIVISION OFFICE,Division Office,"KABALE, Western, Uganda"
