Accountant,ACCT
Accounts Assistant,AA
Agricultural Officer,AGOFF
Anaesthetic Assistant,ANAEAS
Anaesthetic Officer,ANAEOF
Animal Husbandry Officer,ANHUSO
Artisan (Trade Tested),ARTTT
Artisan Mate,ARTMAT
Askari,ASKR
Assistant Agricultural Officer,AAGO
Assistant Animal Husbandry Officer,AANHO
Assistant Chief Administrative Officer/Senior Assistant Secretary,ACAO
Assistant Commissioner - Accounts,ACACTS
Assistant Commissioner - Child Health,ACCHDH
Assistant Commissioner - Environmental Health,ACENVH
Assistant Commissioner - Health Infrastructure,ACHINF
Assistant Commissioner - Health Promotion & Education,ACHPED
Assistant Commissioner - Information Management Services,ACIMS
Assistant Commissioner - Integrated Curative,ACICUR
Assistant Commissioner - Internal Audit,ACINTA
Assistant Commissioner - National Disease Control,ACNDC
Assistant Commissioner - Nursing Services,ACNURS
Assistant Commissioner - Personnel,ACPERS
Assistant Commissioner - Planning,ACPLAN
Assistant Commissioner - Quality Assurance,ACOMQA
Assistant Commissioner - Quality Assurance (Health),ACQAH
Assistant Commissioner - Reproductive Health,ACREPH
Assistant Commissioner - Resource Centre,ACRCEN
Assistant Commissioner - Surveillance & Epidemiology,ACSRVE
Assistant Commissioner - Training,ACTRN
Assistant Commissioner - Unepi,ACUNEP
Assistant Commissioner - Vector Control,ACVCTR
Assistant Community Development Officer,ACDO
Assistant Computer Operator,ACO
Assistant Cooperative Officer,ACOOPO
Assistant Director - Uganda Virus Research Institute,ADUVRI
Assistant District Health Officer,ADHO
Assistant Engineering Officer (Civil),AEOOCV
Assistant Engineering Officer (Electrical),AEOEL
Assistant Engineering Officer (Mechanical),AEOME
Assistant Entomological Officer,AENTMO
Assistant Field Officer,AFLDO
Assistant Fisheries Officer,AFISHO
Assistant Forestry Officer,AFORO
Assistant Graphics Artist,AGA
Assistant Health Educator,AHED
Assistant Health Visitor,AHVS
Assistant Procurement Officer,APROCO
Assistant Records Officer,ARO
Assistant Secretary,AS
Assistant Sports Officer,ASPRTO
Assistant Statistical Officer,ASTAO
Assistant Supervisor Works,ASUPW
Assistant Supplies Officer,ASUPOF
